index,product,category,price,quantity,brand,sales volume,normalized_demand,demand_category,inventory_strategy
34,Amul Dairy Product 34,Dairy,122.11,209,Amul,11,0.13636363636363635,Low Demand,"Stored in secondary locations, replenished as needed"
35,Nestle Dairy Product 35,Dairy,89.0,115,Nestle,46,0.9318181818181818,Medium Demand,"Regional warehouses, moderate priority"
36,Harvest Gold Bakery Product 36,Bakery,320.37,183,Harvest Gold,32,0.6136363636363636,High Demand,"Central warehouse, closest to delivery hubs"
37,Fresh Pick Fruits & Vegetables Product 37,Fruits & Vegetables,101.42,335,Fresh Pick,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
38,Bingo Snacks Product 38,Snacks,449.08,280,Bingo,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
39,Coca-Cola Beverages Product 39,Beverages,327.37,170,Coca-Cola,17,0.2727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
40,Red Bull Beverages Product 40,Beverages,13.41,460,Red Bull,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
41,McCain Frozen Foods Product 41,Frozen Foods,349.29,283,McCain,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
42,Dettol Household Essentials Product 42,Household Essentials,168.37,145,Dettol,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
43,Tropicana Beverages Product 43,Beverages,188.18,491,Tropicana,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
44,Sumeru Frozen Foods Product 44,Frozen Foods,253.65,162,Sumeru,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
45,Tropicana Beverages Product 45,Beverages,28.07,162,Tropicana,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
46,Haldiram Snacks Product 46,Snacks,35.22,273,Haldiram,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
47,Red Bull Beverages Product 47,Beverages,343.55,102,Red Bull,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
48,Haldiram Snacks Product 48,Snacks,280.92,296,Haldiram,8,0.06818181818181818,Low Demand,"Stored in secondary locations, replenished as needed"
49,Dettol Household Essentials Product 49,Household Essentials,191.13,450,Dettol,42,0.8409090909090909,Medium Demand,"Regional warehouses, moderate priority"
50,Harvest Gold Bakery Product 50,Bakery,491.88,444,Harvest Gold,20,0.3409090909090909,High Demand,"Central warehouse, closest to delivery hubs"
51,Coca-Cola Beverages Product 51,Beverages,167.18,375,Coca-Cola,20,0.3409090909090909,High Demand,"Central warehouse, closest to delivery hubs"
52,Britannia Bakery Product 52,Bakery,299.54,492,Britannia,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
53,Mother Dairy Dairy Product 53,Dairy,260.93,196,Mother Dairy,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
54,Colgate Household Essentials Product 54,Household Essentials,470.86,473,Colgate,43,0.8636363636363636,Medium Demand,"Regional warehouses, moderate priority"
55,Haldiram Snacks Product 55,Snacks,77.39,490,Haldiram,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
56,Bingo Snacks Product 56,Snacks,275.31,347,Bingo,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
57,Colgate Household Essentials Product 57,Household Essentials,95.73,161,Colgate,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
58,Tropicana Beverages Product 58,Beverages,483.06,86,Tropicana,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
59,Nestle Dairy Product 59,Dairy,176.12,148,Nestle,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
60,Mother Dairy Dairy Product 60,Dairy,392.14,457,Mother Dairy,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
61,Tropicana Beverages Product 61,Beverages,394.82,153,Tropicana,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
62,Sumeru Frozen Foods Product 62,Frozen Foods,192.42,148,Sumeru,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
63,Harvest Gold Bakery Product 63,Bakery,88.8,387,Harvest Gold,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
64,Sumeru Frozen Foods Product 64,Frozen Foods,329.46,218,Sumeru,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
65,Tropicana Beverages Product 65,Beverages,126.25,326,Tropicana,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
66,Dettol Household Essentials Product 66,Household Essentials,332.23,82,Dettol,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
67,Nestle Dairy Product 67,Dairy,321.8,71,Nestle,34,0.6590909090909091,High Demand,"Central warehouse, closest to delivery hubs"
68,ITC Frozen Foods Product 68,Frozen Foods,202.62,487,ITC,12,0.1590909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
69,Nestle Dairy Product 69,Dairy,399.46,335,Nestle,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
70,Local Farm Fruits & Vegetables Product 70,Fruits & Vegetables,251.33,366,Local Farm,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
71,Local Farm Fruits & Vegetables Product 71,Fruits & Vegetables,386.59,66,Local Farm,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
72,Fresh Pick Fruits & Vegetables Product 72,Fruits & Vegetables,477.43,422,Fresh Pick,10,0.11363636363636363,Low Demand,"Stored in secondary locations, replenished as needed"
73,Amul Dairy Product 73,Dairy,477.01,398,Amul,35,0.6818181818181818,Medium Demand,"Regional warehouses, moderate priority"
74,Amul Dairy Product 74,Dairy,46.92,302,Amul,25,0.45454545454545453,High Demand,"Central warehouse, closest to delivery hubs"
75,Surf Excel Household Essentials Product 75,Household Essentials,165.29,177,Surf Excel,22,0.38636363636363635,High Demand,"Central warehouse, closest to delivery hubs"
76,Pepsi Beverages Product 76,Beverages,468.72,107,Pepsi,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
77,ITC Frozen Foods Product 77,Frozen Foods,311.35,391,ITC,27,0.5,High Demand,"Central warehouse, closest to delivery hubs"
78,Bingo Snacks Product 78,Snacks,263.98,435,Bingo,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
79,Tropicana Beverages Product 79,Beverages,351.54,348,Tropicana,43,0.8636363636363636,Medium Demand,"Regional warehouses, moderate priority"
80,Harvest Gold Bakery Product 80,Bakery,406.59,404,Harvest Gold,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
81,Harvest Gold Bakery Product 81,Bakery,260.56,362,Harvest Gold,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
82,Harvest Gold Bakery Product 82,Bakery,328.48,449,Harvest Gold,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
83,Local Farm Fruits & Vegetables Product 83,Fruits & Vegetables,175.62,141,Local Farm,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
84,Haldiram Snacks Product 84,Snacks,293.36,391,Haldiram,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
85,Bingo Snacks Product 85,Snacks,491.1,199,Bingo,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
86,Tropicana Beverages Product 86,Beverages,29.03,320,Tropicana,47,0.9545454545454546,Medium Demand,"Regional warehouses, moderate priority"
87,Local Farm Fruits & Vegetables Product 87,Fruits & Vegetables,265.9,102,Local Farm,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
88,Local Farm Fruits & Vegetables Product 88,Fruits & Vegetables,234.06,311,Local Farm,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
89,Fresh Pick Fruits & Vegetables Product 89,Fruits & Vegetables,274.91,360,Fresh Pick,44,0.8863636363636364,Medium Demand,"Regional warehouses, moderate priority"
90,Fresh Pick Fruits & Vegetables Product 90,Fruits & Vegetables,488.17,173,Fresh Pick,46,0.9318181818181818,Medium Demand,"Regional warehouses, moderate priority"
91,Sumeru Frozen Foods Product 91,Frozen Foods,399.64,368,Sumeru,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
92,Fresh Pick Fruits & Vegetables Product 92,Fruits & Vegetables,48.44,278,Fresh Pick,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
93,Harvest Gold Bakery Product 93,Bakery,419.63,442,Harvest Gold,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
94,Britannia Bakery Product 94,Bakery,94.91,50,Britannia,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
95,ITC Frozen Foods Product 95,Frozen Foods,360.15,286,ITC,5,0.0,Low Demand,"Stored in secondary locations, replenished as needed"
96,Britannia Bakery Product 96,Bakery,331.98,118,Britannia,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
97,Britannia Bakery Product 97,Bakery,33.38,203,Britannia,20,0.3409090909090909,High Demand,"Central warehouse, closest to delivery hubs"
98,Amul Dairy Product 98,Dairy,68.88,334,Amul,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
99,Local Farm Fruits & Vegetables Product 99,Fruits & Vegetables,56.14,143,Local Farm,9,0.09090909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
100,Fresh Pick Fruits & Vegetables Product 100,Fruits & Vegetables,57.94,481,Fresh Pick,25,0.45454545454545453,High Demand,"Central warehouse, closest to delivery hubs"
101,Colgate Household Essentials Product 101,Household Essentials,94.87,271,Colgate,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
102,Harpic Household Essentials Product 102,Household Essentials,311.77,374,Harpic,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
103,Haldiram Snacks Product 103,Snacks,193.56,299,Haldiram,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
104,Haldiram Snacks Product 104,Snacks,429.68,374,Haldiram,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
105,Fresh Pick Fruits & Vegetables Product 105,Fruits & Vegetables,44.58,296,Fresh Pick,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
106,Tropicana Beverages Product 106,Beverages,297.03,389,Tropicana,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
107,Fresh Pick Fruits & Vegetables Product 107,Fruits & Vegetables,290.95,82,Fresh Pick,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
108,Britannia Bakery Product 108,Bakery,412.11,317,Britannia,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
109,Coca-Cola Beverages Product 109,Beverages,329.23,92,Coca-Cola,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
110,Britannia Bakery Product 110,Bakery,115.15,351,Britannia,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
111,Britannia Bakery Product 111,Bakery,312.94,264,Britannia,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
112,Haldiram Snacks Product 112,Snacks,198.84,139,Haldiram,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
113,Amul Dairy Product 113,Dairy,253.06,363,Amul,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
114,Amul Dairy Product 114,Dairy,29.2,266,Amul,25,0.45454545454545453,High Demand,"Central warehouse, closest to delivery hubs"
115,Britannia Bakery Product 115,Bakery,278.51,406,Britannia,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
116,Amul Dairy Product 116,Dairy,368.51,85,Amul,22,0.38636363636363635,High Demand,"Central warehouse, closest to delivery hubs"
117,Red Bull Beverages Product 117,Beverages,294.47,200,Red Bull,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
118,Harvest Gold Bakery Product 118,Bakery,220.21,62,Harvest Gold,27,0.5,High Demand,"Central warehouse, closest to delivery hubs"
119,Red Bull Beverages Product 119,Beverages,60.53,322,Red Bull,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
120,Pepsi Beverages Product 120,Beverages,155.84,68,Pepsi,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
121,Local Farm Fruits & Vegetables Product 121,Fruits & Vegetables,453.64,125,Local Farm,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
122,Colgate Household Essentials Product 122,Household Essentials,475.53,433,Colgate,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
123,Bingo Snacks Product 123,Snacks,50.81,118,Bingo,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
124,Local Farm Fruits & Vegetables Product 124,Fruits & Vegetables,281.31,102,Local Farm,27,0.5,High Demand,"Central warehouse, closest to delivery hubs"
125,Red Bull Beverages Product 125,Beverages,54.69,91,Red Bull,43,0.8636363636363636,Medium Demand,"Regional warehouses, moderate priority"
126,Sumeru Frozen Foods Product 126,Frozen Foods,37.38,212,Sumeru,27,0.5,High Demand,"Central warehouse, closest to delivery hubs"
127,Britannia Bakery Product 127,Bakery,355.86,288,Britannia,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
128,Pepsi Beverages Product 128,Beverages,420.11,450,Pepsi,42,0.8409090909090909,Medium Demand,"Regional warehouses, moderate priority"
129,Harpic Household Essentials Product 129,Household Essentials,353.47,219,Harpic,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
130,Bingo Snacks Product 130,Snacks,356.06,54,Bingo,33,0.6363636363636364,High Demand,"Central warehouse, closest to delivery hubs"
131,Harvest Gold Bakery Product 131,Bakery,493.45,414,Harvest Gold,5,0.0,Low Demand,"Stored in secondary locations, replenished as needed"
132,McCain Frozen Foods Product 132,Frozen Foods,474.15,266,McCain,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
133,Fresh Pick Fruits & Vegetables Product 133,Fruits & Vegetables,194.37,464,Fresh Pick,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
134,Harvest Gold Bakery Product 134,Bakery,283.62,140,Harvest Gold,14,0.20454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
135,Bingo Snacks Product 135,Snacks,64.49,222,Bingo,17,0.2727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
136,Haldiram Snacks Product 136,Snacks,290.02,197,Haldiram,32,0.6136363636363636,High Demand,"Central warehouse, closest to delivery hubs"
137,Britannia Bakery Product 137,Bakery,328.11,50,Britannia,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
138,Harvest Gold Bakery Product 138,Bakery,481.46,240,Harvest Gold,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
139,Pepsi Beverages Product 139,Beverages,223.8,107,Pepsi,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
140,Harvest Gold Bakery Product 140,Bakery,282.44,352,Harvest Gold,25,0.45454545454545453,High Demand,"Central warehouse, closest to delivery hubs"
141,McCain Frozen Foods Product 141,Frozen Foods,496.55,278,McCain,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
142,Nestle Dairy Product 142,Dairy,484.96,451,Nestle,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
143,Pepsi Beverages Product 143,Beverages,154.3,50,Pepsi,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
144,Surf Excel Household Essentials Product 144,Household Essentials,458.47,379,Surf Excel,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
145,McCain Frozen Foods Product 145,Frozen Foods,145.92,397,McCain,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
146,Haldiram Snacks Product 146,Snacks,183.14,227,Haldiram,32,0.6136363636363636,High Demand,"Central warehouse, closest to delivery hubs"
147,Local Farm Fruits & Vegetables Product 147,Fruits & Vegetables,487.45,241,Local Farm,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
148,Sumeru Frozen Foods Product 148,Frozen Foods,272.69,466,Sumeru,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
149,Harvest Gold Bakery Product 149,Bakery,142.77,446,Harvest Gold,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
150,Harvest Gold Bakery Product 150,Bakery,475.4,305,Harvest Gold,9,0.09090909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
151,Surf Excel Household Essentials Product 151,Household Essentials,214.94,361,Surf Excel,34,0.6590909090909091,High Demand,"Central warehouse, closest to delivery hubs"
152,Bingo Snacks Product 152,Snacks,32.16,168,Bingo,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
153,McCain Frozen Foods Product 153,Frozen Foods,245.38,288,McCain,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
154,Harvest Gold Bakery Product 154,Bakery,196.64,391,Harvest Gold,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
155,Coca-Cola Beverages Product 155,Beverages,41.12,154,Coca-Cola,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
156,Surf Excel Household Essentials Product 156,Household Essentials,16.7,360,Surf Excel,10,0.11363636363636363,Low Demand,"Stored in secondary locations, replenished as needed"
157,Local Farm Fruits & Vegetables Product 157,Fruits & Vegetables,271.83,182,Local Farm,42,0.8409090909090909,Medium Demand,"Regional warehouses, moderate priority"
158,Amul Dairy Product 158,Dairy,296.72,102,Amul,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
159,Kurkure Snacks Product 159,Snacks,195.15,134,Kurkure,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
160,Pepsi Beverages Product 160,Beverages,133.21,222,Pepsi,17,0.2727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
161,Fresh Pick Fruits & Vegetables Product 161,Fruits & Vegetables,440.33,337,Fresh Pick,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
162,Local Farm Fruits & Vegetables Product 162,Fruits & Vegetables,65.64,203,Local Farm,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
163,ITC Frozen Foods Product 163,Frozen Foods,417.37,355,ITC,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
164,Pepsi Beverages Product 164,Beverages,484.31,271,Pepsi,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
165,Dettol Household Essentials Product 165,Household Essentials,216.06,278,Dettol,25,0.45454545454545453,High Demand,"Central warehouse, closest to delivery hubs"
166,ITC Frozen Foods Product 166,Frozen Foods,404.47,152,ITC,42,0.8409090909090909,Medium Demand,"Regional warehouses, moderate priority"
167,Fresh Pick Fruits & Vegetables Product 167,Fruits & Vegetables,181.79,147,Fresh Pick,22,0.38636363636363635,High Demand,"Central warehouse, closest to delivery hubs"
168,Sumeru Frozen Foods Product 168,Frozen Foods,224.36,496,Sumeru,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
169,Local Farm Fruits & Vegetables Product 169,Fruits & Vegetables,261.85,384,Local Farm,34,0.6590909090909091,High Demand,"Central warehouse, closest to delivery hubs"
170,Harpic Household Essentials Product 170,Household Essentials,432.56,182,Harpic,33,0.6363636363636364,High Demand,"Central warehouse, closest to delivery hubs"
171,Fresh Pick Fruits & Vegetables Product 171,Fruits & Vegetables,464.03,379,Fresh Pick,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
172,Fresh Pick Fruits & Vegetables Product 172,Fruits & Vegetables,234.98,83,Fresh Pick,10,0.11363636363636363,Low Demand,"Stored in secondary locations, replenished as needed"
173,Harvest Gold Bakery Product 173,Bakery,171.09,284,Harvest Gold,47,0.9545454545454546,Medium Demand,"Regional warehouses, moderate priority"
174,Nestle Dairy Product 174,Dairy,273.26,200,Nestle,20,0.3409090909090909,High Demand,"Central warehouse, closest to delivery hubs"
175,Dettol Household Essentials Product 175,Household Essentials,78.03,57,Dettol,8,0.06818181818181818,Low Demand,"Stored in secondary locations, replenished as needed"
176,Fresh Pick Fruits & Vegetables Product 176,Fruits & Vegetables,211.71,401,Fresh Pick,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
177,Amul Dairy Product 177,Dairy,486.82,110,Amul,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
178,Britannia Bakery Product 178,Bakery,179.09,219,Britannia,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
179,Harvest Gold Bakery Product 179,Bakery,69.11,282,Harvest Gold,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
180,Kurkure Snacks Product 180,Snacks,188.49,127,Kurkure,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
181,Britannia Bakery Product 181,Bakery,29.26,298,Britannia,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
182,Colgate Household Essentials Product 182,Household Essentials,438.05,368,Colgate,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
183,Haldiram Snacks Product 183,Snacks,405.04,162,Haldiram,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
184,Harvest Gold Bakery Product 184,Bakery,112.58,176,Harvest Gold,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
185,ITC Frozen Foods Product 185,Frozen Foods,382.38,127,ITC,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
186,Lays Snacks Product 186,Snacks,40.55,236,Lays,11,0.13636363636363635,Low Demand,"Stored in secondary locations, replenished as needed"
187,Nestle Dairy Product 187,Dairy,423.78,412,Nestle,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
188,Kurkure Snacks Product 188,Snacks,183.53,420,Kurkure,19,0.3181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
189,Red Bull Beverages Product 189,Beverages,194.87,251,Red Bull,43,0.8636363636363636,Medium Demand,"Regional warehouses, moderate priority"
190,Coca-Cola Beverages Product 190,Beverages,113.61,175,Coca-Cola,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
191,Coca-Cola Beverages Product 191,Beverages,178.03,74,Coca-Cola,8,0.06818181818181818,Low Demand,"Stored in secondary locations, replenished as needed"
192,Bingo Snacks Product 192,Snacks,327.92,195,Bingo,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
193,Harpic Household Essentials Product 193,Household Essentials,297.55,313,Harpic,44,0.8863636363636364,Medium Demand,"Regional warehouses, moderate priority"
194,Tropicana Beverages Product 194,Beverages,72.51,474,Tropicana,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
195,ITC Frozen Foods Product 195,Frozen Foods,307.7,492,ITC,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
196,McCain Frozen Foods Product 196,Frozen Foods,467.51,486,McCain,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
197,Harvest Gold Bakery Product 197,Bakery,189.02,161,Harvest Gold,8,0.06818181818181818,Low Demand,"Stored in secondary locations, replenished as needed"
198,Sumeru Frozen Foods Product 198,Frozen Foods,53.06,399,Sumeru,35,0.6818181818181818,Medium Demand,"Regional warehouses, moderate priority"
